
#Americas
956  = "Nya Götheborg"		 #Lenape		
957  = "Fort Kristina"		 #Delaware 
962  = "Nya Elfsborg"		 #Unami

#Baltics	
37   = "Livland"		 #Livland
272  = "Vilna"			 #Lithuania/Vilna
273  = "Lettgallen"		 #Latgalia

#Germany
49   = "Nya märket"		 #Neumark
110  = "Sydtyrolen"		 #Trent/Sudtirol
1770 = "Östmark"		 #Ostmark

#Benelux
90   = "Flandern"		 #Vlaanderen
#Serbia
138  = "Montenegro"		 #Zeta


#Greece
4699 = "Aitolien"		#Aetolia

#List
10 = "Jämtland"							#Jamtland					|checked	02.09.18
2529 = "Kaggfästning"	#NWCN
2528 = "Kalltvatten"	#NWCN
2527 = "Observatoriskakullen"	#NWCN
2531 = "Jaktstaden"	#NWCN
2532 = "Nya Falköping"	#NWCN
2533 = "Rosenfästning"	#NWCN
2536 = "Flodglänta"	#NWCN
2535 = "Vimmerby"	#NWCN
2534 = "Orion"	#NWCN
2539 = "Jungfrunsby"	#NWCN
2537 = "Lindstrom"	#NWCN
2538 = "Nora"	#NWCN
2540 = "Nya Örebro"	#NWCN
2541 = "Stiernsköld"	#NWCN
2542 = "Broxvik"	#NWCN
2543 = "Långvik"	#NWCN
2546 = "Nya Sigtuna"	#NWCN
2545 = "Mora"	#NWCN
2544 = "Kajbalahamn"	#NWCN
2547 = "Laholm"	#NWCN
2548 = "Nyälv"	#NWCN
2549 = "Nya Vänersborg"	#NWCN
2550 = "Eksjö"	#NWCN
2552 = "Heligt Hjärta"	#NWCN
2551 = "Nya Ulricehamn"	#NWCN
2526 = "Dagby"	#NWCN
2524 = "Vänskap"	#NWCN
2523 = "Höga Marken"	#NWCN
2525 = "Lindschölding"	#NWCN
2522 = "Stora Forsana"	#NWCN
2521 = "Skövde"	#NWCN
2555 = "Näslott"	#NWCN
2556 = "Silverkulle"	#NWCN
2557 = "Ovesholm"	#NWCN
2553 = "Grönås"	#NWCN
2554 = "Flamländstad"	#NWCN
2639 = "Sverigebro"	#NWCN
2558 = "Råbelövia"	#NWCN
2560 = "Nyahamn"	#NWCN
2561 = "Drottningborg"	#NWCN 
2559 = "Dannemora"	#NWCN
2563 = "Grönakullar"	#NWCN
2564 = "Vitaberg"	#NWCN
970 = "Leijonhufvud"	#NWCN
2013 = "Simrishamn"	#NWCN
2566 = "Västmanland"	#NWCN
2567 = "Storälg"	#NWCN
2568 = "Drottningskvarn"	#NWCN
2569 = "Sundsby"	#NWCN
2570 = "Johannishus"	#NWCN
2571 = "Nya Skövde"	#NWCN
2572 = "Straumfjärd"	#NWCN
2582 = "Harridsborg"	#NWCN
2583 = "Östhammar"	#NWCN
2584 = "Salneck"	#NWCN
2580 = "Rosersberg"	#NWCN
2579 = "Kronovallis"	#NWCN
2577 = "Sju Öar"	#NWCN
2576 = "Boholm"	#NWCN
2578 = "Frisland"	#NWCN
2573 = "Nya Wäsby"	#NWCN
2575 = "Erikssonbukt"	#NWCN
2574 = "Hellelän"	#NWCN
2670 = "Åkerö"	#NWCN
2586 = "Söderberg"	#NWCN
2587 = "Nya Skokloster"	#NWCN
2585 = "Stjärnorden"	#NWCN
2671 = "Älvsborg"	#NWCN
2581 = "Skotskborg"	#NWCN
2588 = "Klockaberg"	#NWCN
2589 = "Utterby"	#NWCN
2590 = "Rökiga Vattenfall"	#NWCN
2591 = "Sommarbäver"	#NWCN
999 = "Torshälla"	#NWCN
2592 = "Rössjöholm"	#NWCN
2593 = "Sjö i Skogen"	#NWCN
2594 = "Sjölän"	#NWCN
2596 = "Slotby"	#NWCN
2598 = "Blubergen"	#NWCN
2597 = "Enborg"	#NWCN
2599 = "Edenbladby"	#NWCN
2600 = "Fredflod"	#NWCN
2602 = "Kronhjort"	#NWCN
2603 = "Segerstad"	#NWCN
2604 = "Stralenheim"	#NWCN
2605 = "Pechliningen"	#NWCN
2607 = "Sommarland"	#NWCN
2610 = "Grevehåla"	#NWCN
2609 = "Prins Gustav"	#NWCN
2613 = "Vithamn"	#NWCN
2612 = "Morgonstierna"	#NWCN
2611 = "Tre Rosor"	#NWCN
2486 = "Skogsberg"	#NWCN
2487 = "Grönlän"	#NWCN
2488 = "Nya Enköping"	#NWCN
2483 = "Nya Lund"	#NWCN
2489 = "Nya Trosa"	#NWCN
2490 = "Saltsjö"	#NWCN
2501 = "Krille"	#NWCN
2502 = "Danskaslot"	#NWCN
2503 = "Stavekyrkan"	#NWCN
2504 = "Ryningsted"	#NWCN
2505 = "Nya Strängnäs"	#NWCN
2510 = "Nya Växjö"	#NWCN
2511 = "Djävulens Sjö"	#NWCN
2876 = "Skokloster"	#NWCN
